family,config_id,stage,entry_point,backbone,varied_params,wall_clock_sec,platform,gpu,pytorch,cuda,coverage_status,notes,user_sec,sys_sec,max_rss_kb,exit_code,cuda_visible_devices,cuda_available,cuda_device_count
Pre-trained,pretrained_BEATs-iter3,evaluation,evaluate_pretrain.py,BEATs-iter3,model=BEATs-iter3,937.92,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,13027.25,24.30,2103432,0,1,True,1
Pre-trained,pretrained_BEATs-iter3plus,evaluation,evaluate_pretrain.py,BEATs-iter3+,model=BEATs-iter3+,952.64,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,13207.39,25.74,2107128,0,1,True,1
Pre-trained,pretrained_CED-base,evaluation,evaluate_pretrain.py,CED-base,model=CED-base,574.04,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,13061.43,21.86,1856024,0,1,True,1
Pre-trained,pretrained_CED-mini,evaluation,evaluate_pretrain.py,CED-mini,model=CED-mini,591.51,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,13275.96,21.98,1851504,0,1,True,1
Pre-trained,pretrained_CED-small,evaluation,evaluate_pretrain.py,CED-small,model=CED-small,590.05,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,13038.65,21.95,1850672,0,1,True,1
Pre-trained,pretrained_CED-tiny,evaluation,evaluate_pretrain.py,CED-tiny,model=CED-tiny,580.47,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,13123.25,21.95,1847848,0,1,True,1
Shared backbone,shared_ae_lite0,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=ae; lite_index=0,51.18,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,60.45,57.23,1589104,0,1,True,1
Shared backbone,shared_ae_lite1,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=ae; lite_index=1,56.34,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,67.53,55.96,1587364,0,1,True,1
Shared backbone,shared_ae_lite2,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=ae; lite_index=2,56.85,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,67.03,55.07,1588480,0,1,True,1
Shared backbone,shared_ae_lite3,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=ae; lite_index=3,64.71,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,73.08,57.34,1549936,0,1,True,1
Shared backbone,shared_ae_lite4,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=ae; lite_index=4,76.10,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,85.72,59.24,1568176,0,1,True,1
Shared backbone,shared_sep_lite0,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=sep_direct; lite_index=0,56.04,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,88.15,79.14,1679104,0,1,True,1
Shared backbone,shared_sep_lite1,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=sep_direct; lite_index=1,62.63,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,103.36,90.42,1676916,0,1,True,1
Shared backbone,shared_sep_lite2,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=sep_direct; lite_index=2,64.36,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,94.85,80.45,1679992,0,1,True,1
Shared backbone,shared_sep_lite3,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=sep_direct; lite_index=3,70.88,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,105.25,83.42,1634624,0,1,True,1
Shared backbone,shared_sep_lite4,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=sep_direct; lite_index=4,81.97,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,111.17,79.87,1669080,0,1,True,1
Shared backbone,shared_ce_lite0,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_ce; lite_index=0,37.37,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,57.74,21.79,1572976,0,1,True,1
Shared backbone,shared_ce_lite1,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_ce; lite_index=1,43.31,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,63.57,21.75,1576048,0,1,True,1
Shared backbone,shared_ce_lite2,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_ce; lite_index=2,43.32,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,63.83,21.76,1582212,0,1,True,1
Shared backbone,shared_ce_lite3,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_ce; lite_index=3,49.53,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,69.24,22.03,1544876,0,1,True,1
