"family","config_id","stage","entry_point","backbone","varied_params","wall_clock_sec","platform","gpu","pytorch","cuda","coverage_status","notes"
"Pre-trained","pretrained_CED-mini","evaluation","evaluate_pretrain.py","CED-mini","model=CED-mini","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Pre-trained","pretrained_CED-small","evaluation","evaluate_pretrain.py","CED-small","model=CED-small","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Pre-trained","pretrained_CED-tiny","evaluation","evaluate_pretrain.py","CED-tiny","model=CED-tiny","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_ae_lite0","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=ae; lite_index=0","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_ae_lite1","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=ae; lite_index=1","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_ae_lite2","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=ae; lite_index=2","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_ae_lite3","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=ae; lite_index=3","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_ae_lite4","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=ae; lite_index=4","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_sep_lite0","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=sep_direct; lite_index=0","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
"Shared backbone","shared_sep_lite1","training","train_shared_backbone.py","proxy_shared_backbone_lite","task=sep_direct; lite_index=1","NA","Linux-6.14.0-37-generic-x86_64-with-glibc2.39","NVIDIA GeForce RTX 5090","2.7.1+cu128","12.8","pending_full_runtime_measurement","Fill after running scripts/measure_full_runtime_grid.sh with DRY_RUN=0."
